Continent,Region,City,Country,Meal.inex.rest,Meal2px$$3course,McMeal,Beer0.5Res,BeerImport.33Res,CappRest,CokeRest,WaterRest,Milk1l,BreadLoaf,Ricekg,Eggs12,Cheesekg,Chickenkg,Beefkg,Appleskg,Bananakg,Orangeskg,Tomatokg,Potatokg,Onionkg,Lettuce,Water1.5lmarket,Wine$$market,BeerDomes0.5market,BeerImport0.33market,Cigs20,Busfare,Monthbuspass,Taxistart,Taxi1km,Taxi1hrwait,Fuel1l,VwGolf,ToyotaCorolla,Basicbillsapartment,1minmobile,Wifiunlimited,Gymmonth,Tennis1hr,Cinema,Preschoolmonth,Internationalprimaryyear,Jeans,Dress,Trainers,Leathershoes,1bedaptmcity,1bedaptmsuburb,3bedaptmcity,3bedaptmsuburb,sqmpriceaptmcity,sqmtpriceaptmsuburb,netmonthlysalary
Asia,Southern Asia,Hyderabad City,Pakistan,1.22,15.59,4.01,1.89,3.56,0.97,0.27,0.22,0.62,0.37,0.7,1.08,6.61,2.1,3.15,0.76,0.46,0.92,0.67,0.27,0.34,0.55,0.3,1.54,1.57,2.12,1.11,0.18,2.67,0.67,0.18,1.29,0.71,10915.19,15593.13,60.89,0.02,15.59,13.7,7.24,2.23,10.69,668.28,25.06,16.71,34.16,34.9,69.8,43.81,148.51,80.19,180.42,205.59,161.13
Asia,Southern Asia,Quetta,Pakistan,1.34,17.82,2.67,1.34,1.11,1.41,0.23,0.18,0.56,0.35,0.76,1.23,2.28,1.73,4.34,0.69,0.39,0.34,0.55,0.22,0.23,0.2,0.33,1.56,0.85,1.56,1,0.09,1.67,0.56,0.29,0.6,0.64,8910.36,11806.23,38.21,0.01,35.08,8.91,7.43,2.23,15.15,1336.55,8.46,15.59,51.23,26.73,44.55,28.96,126.23,62.37,2580.81,431.6,158.16
Asia,Southern Asia,Peshawar,Pakistan,1.34,10.02,3.56,1.56,2.23,0.91,0.2,0.13,0.57,0.45,0.74,0.91,3.63,1.73,2.78,0.71,0.45,0.86,0.32,0.29,0.26,0.13,0.28,1.34,1.09,2.29,0.89,0.22,7.8,0.67,0.22,0.89,0.65,10246.91,12118.09,48.86,0.01,21.53,14.11,3.27,2.23,15.04,712.83,8.91,7.72,57.92,35.64,51.98,53.46,103.58,72.4,1913.72,555.89,143.2
Asia,Southern Asia,Gujranwala,Pakistan,0.98,6.68,3.34,2.23,4.46,1.34,0.19,0.18,0.61,0.45,0.79,0.95,4.29,1.9,2.97,0.89,0.46,0.7,0.45,0.31,0.32,0.21,0.28,1.56,1.21,2.13,1.11,0.18,3.34,0.67,0.13,1.34,0.65,10246.91,12028.99,35.26,0.01,15.59,7.57,4.46,3.12,15.59,519.77,12.62,13.37,37.13,28.22,67.94,29.7,160.39,91.33,1262.12,767.12,138.11
Asia,Southern Asia,Sialkot City,Pakistan,1.67,10.02,2.47,0.6,2,1.34,0.22,0.17,0.55,0.47,0.7,0.97,6.18,1.86,4.57,1.05,0.43,0.56,0.34,0.28,0.25,0.39,0.29,1.92,1.86,1.81,1.07,0.13,4.9,0.67,0.13,1.23,0.65,9801.4,14192.58,50.37,0.01,31.93,11.88,3.79,2.23,20.05,1544.46,14.11,31.18,32.67,26.73,66.83,40.1,289.59,178.21,360.23,1721.85,128.09
Asia,Southern Asia,Multan,Pakistan,1.34,8.46,3.34,1.34,3.3,1.08,0.22,0.14,0.49,0.42,0.73,0.88,6.37,1.79,3.3,0.82,0.52,0.48,0.54,0.32,0.33,0.45,0.27,4.01,1.32,1.68,0.8,0.12,3.56,0.67,0.11,1.16,0.68,8910.36,14590.71,52.57,0.01,12.81,12.19,3.68,2.45,28.91,641.55,12.62,28.4,28.14,21.79,53.74,45.19,181.39,131.43,235.54,205.56,125.32
Asia,Southern Asia,Bahawalpur,Pakistan,0.67,6.68,3.34,4.46,4.46,1.08,0.18,0.14,0.48,0.35,0.69,0.82,2.83,1.7,2.67,0.8,0.43,0.48,0.43,0.25,0.26,0.25,0.27,1.23,1.31,0.8,0.89,0.18,9.36,0.36,0.17,0.45,0.77,14479.33,14479.33,40.1,0.01,16.71,6.68,0.89,2.67,14.85,588.08,10.42,10.69,37.87,19.68,43.81,22.28,115.83,89.1,177.43,1149.76,105.81
North America,Central America,Panama City,Panama,8,50,7,2.5,4,3.31,1.66,1.34,1.58,2.14,1.92,2.13,7.45,7.09,8.13,2.98,1.24,2.97,3.22,1.84,1.96,2.26,1.48,10,1.23,1.73,5.9,0.35,27.5,2,1.75,20,1.07,25000,20056.25,98.85,0.16,46.67,39.36,24.17,5.79,358.89,11675,52,43,75.53,91.25,908.95,510.29,1784.21,973.68,2180,1303.12,798.95
South America,South America,Asuncion,Paraguay,4.15,23.5,4.84,1.38,2.07,1.9,0.88,0.47,0.82,0.74,0.98,1.5,6.05,3.72,6.14,1.8,0.92,0.97,1.48,0.88,0.72,0.47,0.55,5.25,0.96,1.66,1.49,0.5,23.22,0.77,1.38,6.91,1.15,16415.38,24402.76,56.84,0.14,23.18,27.91,16.82,6.91,152.06,2294.7,49.25,36.29,71.78,73.07,342.29,251.41,663.22,540.54,1282.4,703.83,341.83
South America,South America,Lima,Peru,3.84,23.06,5.12,2.05,3.84,2.57,0.83,0.54,1.19,1.8,1.08,1.78,6.82,4.93,8.05,1.54,1.01,0.97,0.97,0.72,0.86,0.71,0.73,7.69,1.57,2.29,4.87,0.51,15.37,2.56,1.41,6.92,1.28,17937.43,21297.25,69.32,0.18,30.03,35.74,12.24,5.38,207.03,5901.41,44.19,27.72,69.88,67.11,503.19,339.01,941.31,678.48,1939.15,1410.35,458.59
