Continent,Region,City,Country,Meal.inex.rest,Meal2px$$3course,McMeal,Beer0.5Res,BeerImport.33Res,CappRest,CokeRest,WaterRest,Milk1l,BreadLoaf,Ricekg,Eggs12,Cheesekg,Chickenkg,Beefkg,Appleskg,Bananakg,Orangeskg,Tomatokg,Potatokg,Onionkg,Lettuce,Water1.5lmarket,Wine$$market,BeerDomes0.5market,BeerImport0.33market,Cigs20,Busfare,Monthbuspass,Taxistart,Taxi1km,Taxi1hrwait,Fuel1l,VwGolf,ToyotaCorolla,Basicbillsapartment,1minmobile,Wifiunlimited,Gymmonth,Tennis1hr,Cinema,Preschoolmonth,Internationalprimaryyear,Jeans,Dress,Trainers,Leathershoes,1bedaptmcity,1bedaptmsuburb,3bedaptmcity,3bedaptmsuburb,sqmpriceaptmcity,sqmtpriceaptmsuburb,netmonthlysalary
Africa,Northern Africa,Alexandria,Egypt,4.07,16.29,3.67,2.04,4.07,1.39,0.25,0.15,0.76,0.45,0.62,1.1,2.69,3.64,7.24,1.08,0.62,0.4,0.36,0.34,0.26,0.23,0.21,6.31,1.34,1.47,1.89,0.2,9.77,0.41,0.2,2.04,0.38,20364.11,19781.19,21.57,0.01,11.86,20.78,5.97,4.07,67.75,2055.81,27.19,34.19,79.82,36.42,148.91,80.37,299.8,175.37,697.17,245.73,166.99
Africa,Northern Africa,Port Said,Egypt,3.26,16.29,3.26,1.63,1.83,1.15,0.23,0.15,0.66,0.4,0.58,1.12,3.29,4,7.33,0.98,0.55,0.38,0.31,0.34,0.27,0.16,0.22,8.15,1.28,1.94,1.83,0.11,16.29,0.41,0.14,1.02,0.37,20364.11,18463.46,26.99,0.01,9.77,15.61,11.2,2.44,73.48,1232.03,23.08,30.55,72.29,46.66,190.07,122.18,393.71,251.16,821.35,536.25,149.34
Africa,Northern Africa,Asyut,Egypt,3.26,12.22,4.07,1.22,2.04,0.88,0.3,0.17,0.64,0.19,0.67,0.94,1.63,2.55,6.31,0.88,0.61,0.43,0.27,0.27,0.29,0.29,0.34,7.13,1.52,2.14,1.43,0.08,8.15,0.41,0.41,1.22,0.35,28509.75,15875.58,21.38,0.01,21.72,16.29,5.09,3.26,57.02,773.84,12.22,35.3,82.81,29.12,135.76,74.67,237.58,162.91,549.83,305.46,108.61
Europe,Northern Europe,Tallinn,Estonia,12.46,62.32,7.27,4.88,4.67,3.38,2.07,1.72,0.99,1.12,2.01,2.27,9.43,7.38,13.41,1.73,1.24,2.02,2.73,0.97,0.72,1.3,0.88,8.31,1.61,1.98,5.25,1.56,31.16,3.12,0.83,12.46,2.03,22851.33,24374.06,297.48,0.05,26.84,53.24,34.28,9.35,310.45,6055.6,82.88,36.35,84.87,111.58,690.33,500.31,1277.6,850.43,4180.46,2745.84,1425.55
Africa,Eastern Africa,Addis Ababa,Ethiopia,7.6,30,4,0.75,1.3,0.78,0.72,0.47,0.91,0.57,1.98,2.11,8.12,8.09,8.87,3.19,0.87,1.66,0.81,0.46,0.66,0.42,0.39,8.15,0.96,1.23,4,0.3,12,1.42,0.4,3,0.75,33000,49195.71,168.33,0.02,202.38,57.25,35,4,78.15,26666.67,24.09,53.82,63.11,57.74,466.89,243,1693.09,671.6,1457.18,999,194.78
Oceania,Oceania,Suva,Fiji,3.6,33.76,6.3,2.7,4.5,2.67,1.05,0.84,1.23,0.48,1.1,2.64,7.74,5.38,4.34,2.01,1.76,1.68,1.35,1.16,0.97,0.96,0.62,8.1,1.69,2.59,7.2,0.45,35.78,0.79,0.56,4.86,1.23,18003.42,19634.98,47.3,0.12,26.3,31.38,4.95,3.6,185.44,6113.66,19.5,19.13,54.09,51.76,556.98,294.74,1462.78,752.29,2475.47,1327.75,1578.82
Europe,Northern Europe,Helsinki,Finland,13.5,83.1,9.35,7.27,8.31,4.24,2.69,1.78,1.02,2.35,2.24,2.45,7.5,10.84,18.08,2.39,1.74,2.28,3.66,1.15,1.46,1.94,1.68,12.46,2.63,3.11,9.87,2.91,67.52,7.27,1.48,55.47,2.32,31160.9,31680.25,106.32,0.08,22.52,38.62,36.63,15.58,394.06,5401.22,94.6,41.06,83.03,133.21,1041.66,830.09,2085.59,1440.51,8789.35,4652.27,2834.36
Europe,Western Europe,Paris,France,15.58,62.32,10.39,7.27,6.23,3.8,2.84,2.4,1.25,2.08,2.17,3.58,17.2,12.68,22.13,3.02,2.04,2.76,3.69,2.15,2.16,1.49,0.83,8.31,2.08,2.98,10.91,1.97,77.9,5.19,1.9,47.26,2.1,22851.33,28272.02,197.79,0.17,30.52,37.16,13.67,12.46,780.6,17064.3,101.55,40.47,92.98,136.99,1325.47,978.26,2968.63,2018.27,12811.7,9084.89,2741.22
Europe,Western Europe,Toulouse,France,16.88,62.32,9.35,6.23,5.19,2.77,2.43,1.96,1.09,1.73,1.45,3.08,16.88,10.89,19.94,3.13,2.21,3.12,3.75,1.61,1.65,1.19,0.82,6.23,1.74,2.67,10.59,1.77,56.09,3.53,2.08,34.38,2.07,22851.33,25664.46,182.4,0.1,33.58,34.28,12.45,10.39,553.83,10127.29,90.76,42.14,72.06,112.77,694.2,549.21,1483.85,1011.88,4418.62,3142.06,2683.01
Europe,Western Europe,Lyon,France,15.58,62.32,10.39,6.75,5.97,2.92,2.73,1.51,0.95,1.56,1.76,3.5,18.52,14.97,18.91,2.94,2.31,3.29,3.97,1.99,1.64,1.03,0.97,6.23,2.46,2.25,10.91,1.97,68.76,5.19,1.6,30.54,2.07,31160.9,21047.46,181.84,0.13,38.34,35.75,18.18,12.93,415.48,11165.99,83.62,34.41,91.75,120.75,825.11,599.91,1617.4,1090.63,5608.96,4089.87,2675.5
Europe,Western Europe,Marseille,France,12.98,62.32,9.35,5.19,4.67,2.73,2.08,1.33,1.11,1.87,2.02,3.96,8.31,9.78,27.27,2.86,1.76,2.55,2.37,1.8,1.96,1.51,0.56,7.27,2.25,2.42,10.39,1.97,51.93,3.9,1.79,62.32,2.1,20722,18686.15,143.02,0.07,31.31,26.59,17.31,12.46,571.28,9175.15,76.86,26.15,88.29,128.11,705.02,553.97,1384.93,1012.73,5331.98,3531.57,2558.94
Europe,Western Europe,Nice,France,18.7,75.31,11.24,8.31,6.23,3.8,3.54,2.83,1.36,1.45,2.3,3.66,21.81,12.34,20.77,2.42,1.95,2.4,3.14,1.8,2.67,1.23,0.81,7.27,2.44,2.09,10.91,1.56,43.77,5.71,2.16,26.8,2.06,26746.44,29429.74,191.21,0.4,33.06,32.33,19.56,14.54,1211.81,12464.36,69.98,38.09,89.03,91.41,909.18,728.47,1800.41,1320.73,6838.09,3843.18,2478.24
Africa,Middle Africa,Libreville,Gabon,15.01,79.17,11.48,0.87,1.58,2.38,0.79,0.67,1.91,1.49,1.64,2.85,8.71,9.82,3.01,2.53,2.48,4.91,1.9,1.69,2.9,1.13,0.99,5.15,0.95,1.85,1.98,0.55,51.46,0.79,1.58,7.92,1.02,28502.71,24807.91,105.57,0.21,59.38,67.3,15.83,7.92,108.86,3562.84,37.61,60.7,61.76,82.34,851.12,464.49,2797.49,1689.05,13459.61,15834.84,455.25
Asia,Western Asia,Tbilisi,Georgia,9.41,36.9,7.38,1.85,2.58,2.58,0.85,0.47,1.69,0.59,2.23,2.4,7.49,6.4,9.51,1.25,1.63,1.6,1.4,0.75,0.66,1.05,0.62,5.54,1.28,1.91,2.95,0.37,14.76,1.48,0.74,4.43,1.42,18450.18,20873.31,75.51,0.09,20.49,51.25,13.85,6.46,215.25,5276.52,90.66,44.55,118.63,159.59,791.78,524.05,1446.22,936.46,1806.93,937.79,471.51
Europe,Western Europe,Munich,Germany,15.58,62.32,9.35,4.15,4.15,3.53,3.14,2.88,1.26,1.91,2.39,3.34,13.59,10.25,19.3,2.9,1.85,2.49,2.83,2.09,1.32,1.48,0.82,7.27,1.04,1.94,7.89,3.64,61.39,4.88,2.08,31.16,2.18,25759.68,23145.41,302.32,0.11,37.61,40.06,24.76,12.46,666.19,16780.72,89.94,37.01,92.98,119.4,1407.34,1077.2,2563.69,1932.74,12777.09,9381.58,3435.65
Europe,Western Europe,Frankfurt,Germany,14.02,59.73,8.93,4.15,3.64,3.33,2.91,2.71,1.1,1.78,2.23,2.83,12.3,9.98,16.03,2.73,1.71,2.13,1.67,1.82,0.97,1.38,0.52,6.23,0.9,1.26,7.37,2.86,96.6,3.64,1.87,34.28,2.22,25967.42,24492.47,338.15,0.1,38.09,47.12,21.42,12.46,812.41,12048.88,83.01,36.82,89.39,130.99,1152.38,894.37,2188.58,1582.48,10196.54,7288.19,3337.85
Europe,Western Europe,Stuttgart,Germany,12.46,62.32,9.65,4.15,4.15,3.19,2.98,2.66,1.18,2.01,2.26,2.85,13.41,8.09,12.91,2.19,1.66,2.41,2.12,1.99,1.35,1.26,0.65,5.19,0.66,1.59,7.63,2.86,74.99,3.64,2.18,31.16,2.21,23890.02,25030.86,236.12,0.12,34.73,44.79,20.51,12.46,385.62,11875.33,80.67,31.75,69.46,109.71,1038.7,850.45,1858.92,1350.31,8620.27,6241.82,3280.17
Europe,Western Europe,Dusseldorf,Germany,11.43,60.24,9.35,4.83,4.15,3.31,2.86,2.52,1.09,2.29,2.26,2.69,15.44,9.14,16.27,2.41,1.7,2.07,1.45,2.16,1.24,1.71,0.61,6.23,0.57,1.4,7.79,3.12,83.1,4.83,2.29,36.15,2.22,25967.42,23318.74,214.31,0.12,31.58,33.33,20.95,12.46,328.23,20753.16,107.58,38.58,83.56,108.32,1009.84,767.34,1859.96,1388.66,6896.95,5647.91,3199.08
Europe,Western Europe,Hamburg,Germany,14.02,62.32,9.35,4.67,4.15,3.51,2.69,2.19,1.18,2.34,2.23,3.69,11.94,8.87,13.97,2.93,1.83,2.27,2.03,1.43,0.97,1.19,0.7,7.27,0.71,1.4,7.27,3.39,95.56,4.15,2.31,37.39,2.2,27483.91,31289.01,283.04,0.12,37.21,54.57,28.43,15.58,602.44,24335.18,90.48,44.46,107.07,146.58,1107.94,832.6,2114.05,1587.26,9125.69,5853.8,3127.85
Europe,Western Europe,Berlin,Germany,12.46,62.32,9.35,4.15,4.15,3.33,2.47,1.91,1.17,1.67,2.39,2.98,12.14,9.73,14.22,2.7,1.82,2.52,3.09,1.98,1.48,1.4,0.68,5.71,1.11,1.59,8.31,3.12,88.29,4.15,2.23,34.28,2.14,27006.11,28068.05,302.6,0.11,39.91,40.44,19.5,12.46,163.72,8828.92,86.72,36.66,84.97,108.49,1307.95,953.36,2410.4,1722.39,8481.5,5598.57,3086.47
Europe,Western Europe,Nuremberg,Germany,10.39,49.34,8.31,3.64,4.15,3.09,2.8,3.01,0.96,1.62,1.87,2.63,13.23,7.41,12.45,2.47,1.65,2.14,1.49,1.35,1.08,1.09,0.57,4.41,0.7,1.36,7.53,2.99,83.1,3.64,1.87,25.97,2.28,23855.75,25759.68,240.26,0.12,33.93,29.91,23.24,12.46,359.39,13308.3,84.91,46,78.71,124.5,703.72,474.02,1458.17,964.1,5937.46,4378.22,3005.88
Europe,Western Europe,Hannover,Germany,10.39,57.13,8.31,4.93,4.15,3.31,2.94,2.97,0.98,2.32,2.07,2.72,9.96,7.72,16.83,3.24,1.71,2.1,1.26,1.62,1.06,1.1,0.49,5.19,0.65,1.71,8.3,3.17,72.71,3.32,2.05,31.16,2.29,22851.33,22565.68,228.02,0.12,31.81,40.06,20.36,12.46,390.03,14282.08,80.09,39.47,88.63,118.53,744.4,523.24,1280.97,1046.12,5193.48,3843.18,2626.11
Europe,Western Europe,Dresden,Germany,10.39,46.74,8.31,3.64,3.64,3.05,2.93,2.23,1,1.02,2.28,2.43,10.87,7.15,10.38,2.04,1.74,2.4,1.39,1.4,1.1,1.19,0.88,5.71,0.68,1.25,8.31,2.6,66.06,4.05,2.34,26.49,2.27,22851.33,25466.76,245.8,0.09,32.43,35.61,22.33,10.39,227.52,10231.16,89.62,47.43,89.03,115.43,569.41,458.76,1125.25,857.5,4331.37,3271.89,2542.74
Europe,Western Europe,Bielefeld,Germany,10.39,46.74,9.35,4.15,3.12,3.29,2.08,1.74,0.95,2.49,2.07,2.6,9.24,8.18,24.38,2.53,1.65,2.66,0.82,1.3,1.38,0.81,0.67,5.19,0.61,1.45,7.27,2.91,88.81,6.34,2.08,34.28,2.25,32968.23,25941.45,300.31,0.09,30.29,29.43,25.97,12.46,355.75,9867.62,86.42,32.55,82.89,94.78,581.67,772.53,1635.95,1260.98,4206.72,3427.7,2466.9
Europe,Western Europe,Cologne,Germany,12.98,57.13,9.34,3.64,3.01,2.81,2.29,1.81,1.08,1.91,2.15,2.67,12.08,10.14,13.85,2.76,1.65,2.11,1.39,1.88,1.2,1.5,0.64,5.19,0.56,1.87,8.25,3.12,98.68,3.9,2.13,31.16,2.17,24092.57,27629.75,276.45,0.12,34.39,32.08,28.65,12.46,568.86,12048.88,85.04,30.12,83.47,115.21,886.09,681.64,1649.93,1206.37,5933.55,4596.23,2444.84
Europe,Western Europe,Bremen,Germany,12.46,51.93,10.38,4.67,3.12,3.29,1.99,2.01,1.19,1.7,1.93,2.61,14.85,7.33,20.08,2.46,1.65,2.04,0.83,2.21,1.01,1.45,0.51,5.18,0.62,1.63,7.37,2.96,70.42,3.64,2.39,31.16,2.25,23890.02,21812.63,219.1,0.1,36.35,25.58,12.98,10.13,446.71,19345.72,82.58,35.66,81.54,103.35,649.19,497.09,1285.39,899.34,4154.79,3064.16,2267.75
Europe,Western Europe,Bonn,Germany,15.58,72.71,8.31,4.41,4.15,3,2.21,1.84,1,1.17,1.99,2.49,11.48,8.42,22.85,2.52,1.65,2.2,0.98,1.17,0.92,1.4,0.43,5.19,0.55,1.45,7.79,3.12,114.26,3.64,1.97,38.64,2.23,25453.26,25263.7,280.92,0.1,35.55,40.64,20.98,11.43,503.77,16619.15,77.77,35.71,91.41,100.49,657.84,609.37,2181.26,1727.7,6232.18,3895.11,2251.63
Europe,Western Europe,Leipzig,Germany,9.35,51.93,8.31,4.15,3.64,3.25,2.8,2.39,1.05,1.52,1.72,2.26,11.9,8.03,13.16,2.3,1.67,1.99,1.38,1.31,0.95,1.21,0.47,4.67,0.6,1.4,7.79,3.12,84.13,3.64,2.6,24.93,2.26,24928.72,22505.09,235.5,0.14,38.81,28.97,31.16,10.39,204.1,6232.18,64.55,44.14,78.13,84.58,573.23,400.48,1404.32,969.88,6232.18,2665.99,2199.44
Europe,Western Europe,Duisburg,Germany,10.39,46.74,9.35,4,4.15,3.01,2.8,2.52,1.05,1.11,1.99,2.69,10.59,5.91,9.33,2.41,1.65,2.07,1.26,1.03,0.96,0.97,0.32,5.71,0.57,1.4,7.27,3.01,88.29,4.83,2.08,31.16,2.22,25967.42,19735.24,381.01,0.12,31.58,20.74,27.01,10.39,249.29,8828.92,77.56,36.32,77.9,100.41,429.33,457.03,900.2,553.97,3116.09,2596.74,2092.97
Africa,Western Africa,Accra,Ghana,2.4,25.67,4.28,0.68,1.37,1.4,0.49,0.17,1.08,0.59,0.86,0.97,6.68,2.39,2.58,1.39,0.65,0.74,1.22,1.26,1,0.55,0.28,2.74,0.55,0.71,1.03,0.4,17.46,0.68,0.68,2.4,0.62,5339.61,4097.61,25.63,0.03,30.06,26.17,3.15,3.59,51.34,4064.04,8.81,7.56,17.64,20.82,571.18,39.49,1309.8,171.48,1119.78,4868.97,181.72
Europe,Southern Europe,Gibraltar,Gibraltar,14.41,78.08,8.41,3.9,3.6,2.74,1.62,1.86,1.31,1.92,2.8,1.96,9.61,7.73,11.41,2.75,1.83,2.08,2.03,1.64,1.3,1.13,0.63,7.21,1.54,1.95,3.96,1.68,12.01,4.56,2.4,12.01,1.33,32281.62,32431.77,109.22,0.2,47.22,70.04,16.52,10.21,867.52,11210.98,118.24,45.42,110.86,90.09,1641.3,1388.5,3071.33,2597.54,8924.75,6071.64,3260.69
Europe,Southern Europe,Athens,Greece,12.46,51.93,7.27,4.15,5.19,3.4,1.89,0.52,1.58,1.14,2.28,3.82,10.6,8.8,11.35,1.94,1.83,1.2,1.96,1.06,0.94,0.91,0.88,7.27,1.49,2.3,4.78,1.25,31.16,3.64,0.83,15.06,2.26,22851.33,23523.88,261.34,0.48,31.74,39.9,24.67,8.31,486.93,9354.97,77.28,34.19,81.38,94.8,508.7,453.9,881.18,835.64,2570.21,2555.58,931.36
Europe,Southern Europe,Thessaloniki,Greece,11.43,41.55,7.27,4.15,4.41,3.28,1.78,0.52,1.3,1.09,1.81,3.4,10.67,8.78,10.29,1.68,1.68,1.34,1.85,0.89,0.84,1.02,0.84,7.27,1.37,1.75,4.78,1.04,31.16,3.53,1.35,15.58,2.18,22331.98,21800.06,244.2,0.41,30.8,37.71,14.89,8.31,326.19,5904.59,74.44,31.03,76.78,94.95,439.32,355.42,746.95,570.67,2263.89,1664.39,823.61
North America,Central America,Guatemala City,Guatemala,5.75,33.52,5.75,1.92,3.19,2.35,1.09,0.85,1.66,1.97,1.5,2.08,5.25,6.06,9.52,3.21,1.01,2.47,1.72,1.58,1.66,0.81,1,8.94,1.25,2.06,3.44,0.51,10.53,3.51,0.64,13.73,1.08,17876,22143.99,88.43,0.19,46.93,51.78,19.99,6.38,206.12,5171.27,55.9,55.33,98.32,110.27,575.54,402.81,1066.62,700.8,1538.61,960.81,437.68
South America,South America,Georgetown,Guyana,5.49,49.92,7.16,1.91,2.39,3.49,1.16,0.72,3.41,1.48,1.61,2.84,9.79,5.56,6.5,5.11,2.54,3.3,2.14,1.34,1.3,1.43,1.59,9.55,1.58,2.31,2.39,0.57,34.16,2.39,2.39,9.31,1.06,15760.36,17193.12,80.13,0.14,60.17,29.25,15.12,6.21,103.48,1388.98,27.76,46.96,71.64,62.88,329,200.32,594.33,371.46,3470.47,1139.52,397.25
North America,Central America,San Pedro Sula,Honduras,6,26.4,5.97,1.61,3,2.73,0.81,0.73,1.13,1.57,1.47,2.4,4.9,4.28,10.44,4.41,1.97,3.45,1.91,1.94,2.11,0.68,0.83,7.58,1.48,1.62,2.41,0.71,38.61,4,1.04,6,1.15,22199.33,18736.23,132.03,0.17,74.47,41.35,29.26,5.45,159.09,4010.86,45.72,41.08,87.88,93.21,254.17,189.97,483.19,423.97,381.63,594.55,554.3
North America,Central America,Tegucigalpa,Honduras,4,24.51,6,1.1,2.42,1.51,0.74,0.72,0.98,1.55,1.33,1.81,3.44,3.38,6.13,3.51,1.73,2.02,1.6,1.39,1.47,0.82,1.02,8,1.3,1.98,2.22,0.5,53.82,3.2,2.73,5,1.08,20000,21932.28,72.91,0.14,58.98,39.2,13.44,4.9,201.12,5154.95,49.65,47.61,87.48,84.63,435.5,288.06,965.03,536.93,1165.03,836.26,516.15
Asia,Eastern Asia,Hong Kong,Hong Kong,7.68,64.02,5.51,6.4,6.4,5.08,1.17,1.05,3.1,2.28,2.01,3.4,24.25,9.29,23.46,4.5,2.45,3.65,3.02,2.6,2.66,1.57,1.6,19.21,1.83,2.76,7.94,1.54,64.02,3.46,1.22,12.8,2.76,33289.98,32079.43,199.27,0.09,22.78,72.22,9.29,12.8,766.2,18650.92,82.2,40.35,87.38,134.44,2284.16,1629.08,4591.17,3015.71,31454.11,20810.27,3030.37
Europe,Eastern Europe,Budapest,Hungary,7.93,38.35,5.63,1.92,2.05,1.79,1.09,0.91,1.06,1.34,1.64,2.74,9.91,4.73,10.01,1.39,1.54,1.97,2.44,1.06,1.08,1.33,0.38,4.6,0.85,1.43,5.11,0.89,24.29,2.56,1.02,15.34,1.54,23232.24,21931.59,148.67,0.08,12.71,43.98,11.27,5.88,355.46,8721.39,69.19,31.47,70.73,86.6,475.62,368.37,881.43,633.5,3388.39,2255.78,941.34
Europe,Northern Europe,Reykjavik,Iceland,17.65,105.92,14.12,9.14,7.85,4.38,2.47,1.99,1.45,3.24,3.13,5.49,13.96,16.74,23.29,3.07,1.98,2.26,4.31,2.44,1.32,2.44,1.84,19.42,3.03,2.55,11.3,3.46,60.02,5.15,2.63,56.21,2.25,33152.1,38371.46,101.41,0.14,65.45,63.87,33.1,12.71,325.7,6531.56,104.37,42.76,130.14,184.4,1486.92,1240.61,2109.94,1805.64,6157.74,4471.59,3331.49
Asia,Southern Asia,Bangalore,India,3.06,18.36,4.28,2.11,3.67,2.01,0.46,0.18,0.58,0.57,0.76,0.97,6.52,3.86,6.45,2.38,0.7,1.23,0.46,0.43,0.44,0.57,0.36,11.02,1.89,3.37,4.28,0.61,18.36,1.22,0.37,1.22,1.3,14691.16,23620.47,25.02,0.01,10.76,20.74,5.19,4.9,111.49,2672.98,30.69,32.5,47.2,37.13,237.25,144.6,623.6,354.26,1583.84,798.24,983.32
Asia,Southern Asia,Pune,India,3.67,14.69,4.28,2.45,3.67,1.93,0.42,0.16,0.72,0.49,0.7,0.94,6.05,3.26,5.75,2.14,0.66,1.27,0.56,0.41,0.41,0.58,0.36,7.65,2.11,3.15,4.04,0.37,11.02,0.49,0.31,1.22,1.38,12242.64,21893.93,24.4,0.01,9.19,20.57,6.47,3.67,87.8,1776.93,30.04,31.01,44.84,34.03,215.85,136.08,482.77,311.08,1685.08,974.07,789.54
Asia,Southern Asia,Thiruvananthapuram,India,1.59,9.18,4.28,2.33,4.28,1.56,0.42,0.19,0.57,0.51,0.53,0.91,5.97,2.54,4.45,2.75,0.66,1.03,0.67,0.42,0.5,0.52,0.31,3.67,1.53,3.75,3.16,0.18,9.18,1.22,0.2,0.73,1.27,19686.53,24179.21,28.06,0.02,9.49,16.83,2.91,2.45,42.85,4437.96,35.5,19.83,43.87,28.57,110.18,81.62,257.1,194.66,1143.71,505.15,695.87
Asia,Southern Asia,Guntur,India,2.45,9.79,4.9,1.84,2.82,1.8,0.53,0.29,0.76,0.43,0.63,0.84,4.96,2.69,3.83,2.53,0.58,0.94,0.43,0.53,0.38,0.12,0.37,6.12,2.37,2.08,4.04,0.24,4.28,0.52,0.12,1.22,1.39,14691.16,34279.38,25.3,0.01,8.57,9.79,5.51,2.2,38.26,1387.5,21.22,26.93,36.73,32.65,97.94,73.46,244.85,189.76,724.78,461.23,673.34
Asia,Southern Asia,Kochi,India,1.84,7.96,3.49,1.47,2.45,1.34,0.45,0.16,0.61,0.5,0.58,0.96,8.3,2.8,4.57,2.56,0.66,1.12,0.44,0.46,0.47,0.59,0.32,6.73,1.5,2.57,3.06,0.24,9.79,1.22,0.37,0.73,1.28,12242.64,22211.64,18.74,0.01,8.23,14.94,13.47,2.45,78.68,1453.81,29.19,27.24,40.73,34.28,184.58,134.16,348.92,228.37,1378.15,822.55,652.03
Asia,Southern Asia,Chandigarh,India,3.98,14.69,3.37,3.37,3.67,1.92,0.48,0.37,0.66,0.46,0.81,1.08,4.05,3.01,8.57,1.57,0.82,0.94,0.51,0.34,0.36,0.52,0.36,10.71,1.53,2.57,3.98,0.24,9.79,0.8,0.18,1.22,1.2,9794.11,22138.77,70.82,0.01,10.05,22.44,13.47,3.06,52.29,1167.95,34.38,42.96,53.66,41.83,152.35,101,424.41,246.38,1259.33,635.62,632.54
Asia,Southern Asia,Mumbai,India,3.67,18.36,3.67,2.45,4.28,2.49,0.46,0.19,0.74,0.5,0.84,0.97,5.81,3.68,6.19,2.1,0.69,1.34,0.59,0.44,0.45,0.64,0.35,9.79,2.26,3.63,4.28,0.24,4.9,0.31,0.31,1.22,1.34,12242.64,22586.13,44,0.01,9.47,25.92,11.18,4.28,109.9,3670.94,32.08,28.04,50.37,41.04,514.39,285.88,1388.63,681.14,6073.04,2768.67,627.64
Asia,Southern Asia,Kalyan,India,3.67,10.41,4.16,2.63,4.28,1.93,0.43,0.16,0.72,0.5,0.67,0.9,6.12,2.91,2.91,1.74,0.64,1.43,0.53,0.39,0.4,0.37,0.36,6.12,2.14,2.82,3.67,0.24,4.28,0.39,0.31,1.22,1.35,11018.37,19588.22,39.29,0.02,9.55,16.12,9.18,4.28,58.76,1509.93,24.97,21.42,39.18,28.57,157.11,88.76,261.18,220.37,2415.94,922.45,612.13
Asia,Southern Asia,Nellore,India,1.35,11.02,3.06,0.98,2.45,1.47,0.32,0.17,0.69,0.43,0.55,0.76,2.45,3.21,5.51,2.45,0.66,1.01,0.49,0.33,0.41,0.83,0.32,7.96,1.45,3.18,3.12,0.24,3.06,0.37,0.13,0.61,1.55,11679.47,14691.16,44.53,0.01,8.99,24.49,11.02,1.84,51.01,2142.46,30.61,42.85,32.65,44.89,106.1,65.29,248.93,195.88,593,461.23,591.73
Asia,Southern Asia,Delhi,India,4.9,22.04,4.28,1.84,3.67,1.78,0.48,0.19,0.73,0.51,0.88,1.01,4.32,3.79,5.57,1.8,0.75,1.01,0.6,0.36,0.41,0.7,0.36,9.79,1.53,2.51,4.28,0.49,11.63,0.61,0.22,1.22,1.25,12242.64,22972.31,57.37,0.01,7.96,21.07,8.47,4.9,73.76,1985.7,32.05,33.34,49.35,36.26,223.87,133.38,596.16,325.82,2619.46,1068.9,586.35
Asia,Southern Asia,Lucknow,India,3.06,12.24,3.06,1.84,3.67,1.56,0.35,0.18,0.67,0.45,0.71,1.03,3.95,3.46,6.5,1.48,0.58,0.81,0.43,0.23,0.35,0.45,0.35,6.12,1.81,3.38,4.04,0.43,12.24,0.61,0.15,1.22,1.24,14691.16,24315.92,47.67,0.02,8.64,19.89,10.2,3.67,51.17,1267.11,27.46,34.28,40.78,38.8,122.43,77.74,304.54,179.56,1063.79,597.79,567.92
Asia,Southern Asia,Varanasi,India,3.06,8.02,3.06,1.84,3.37,1.56,0.35,0.18,0.66,0.4,0.62,1.03,2.97,2.66,2.45,1.12,0.56,0.78,0.42,0.23,0.33,0.45,0.29,6.12,1.67,3.1,4.04,0.24,3.37,0.4,0.13,1.22,1.24,14691.16,22036.74,18.36,0.01,3.37,12.24,5.71,2.69,51.17,1267.11,18.36,21.42,40.78,33.87,179.56,123.88,497.87,334.63,1161.86,635.51,550.92
Asia,Southern Asia,Vishakhapatnam,India,1.96,9.49,4.28,1.84,2.75,2,0.58,0.22,0.67,0.47,0.65,0.88,4.59,3.76,8.98,1.92,0.61,1.38,0.63,0.45,0.39,0.77,0.36,8.57,2.05,3.45,3.86,0.31,8.88,0.61,0.15,1.84,1.34,15915.43,16731.6,24.56,0.01,9.26,20.51,12.04,2.69,72.44,1683.36,35.2,26.32,40.81,31.1,304.12,221.53,457.43,312.74,990.78,534.23,550.92
Asia,Southern Asia,Nasik,India,2.45,15.92,2.94,0.98,4.28,0.73,0.44,0.14,0.68,0.34,0.6,0.95,3.2,2.39,3.24,2.01,0.37,0.86,0.55,0.38,0.39,0.18,0.35,9.79,1.39,2.16,4.87,0.24,5.51,0.37,0.18,1.22,1.2,9794.11,18599.01,13.47,0.01,3.67,91.82,1.22,2.45,36.73,1010.02,21.59,21.42,33.67,24.49,73.46,48.97,269.34,183.64,852.17,390.94,550.92
Asia,Southern Asia,Chennai,India,2.2,12.24,4.9,2.2,4.28,1.61,0.44,0.18,0.6,0.5,0.68,0.85,5.99,3.18,5.8,2.49,0.77,1.34,0.5,0.5,0.45,0.62,0.37,5.51,1.85,3.08,4.41,0.31,12.24,1.22,0.24,1.22,1.31,12242.64,24253.92,33.46,0.01,9.33,18.62,6.39,2.45,68.59,1292.68,29,28.16,45.45,35.5,180.7,108.81,441.71,260.77,1960,689.81,546.55
Asia,Southern Asia,Kolkata,India,2,14.69,3.67,2.2,3.67,1.6,0.36,0.15,0.63,0.37,0.69,0.91,4.85,3.03,6.36,1.88,0.65,1.21,0.64,0.4,0.44,0.37,0.34,9.49,1.78,2.9,4.04,0.21,3.98,0.61,0.31,1.22,1.33,12242.64,22438.09,31.36,0.01,7.4,18.19,7.98,3.24,49.57,1588.99,28,26.12,48.89,32.3,148.95,84.21,397.89,247.53,1057.12,583.39,536.14
